[2024-12-13 17:44:23.819811] NIDS service started. Monitoring network traffic.
[2024-12-13 18:05:28.530927] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.543928] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.568993] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.576639] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.589231] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.597428] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.631692] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:28.884189] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.634917] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.651638] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.662226] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.676520] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.685001] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.691188] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.713464] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.724432] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.753241] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.765010] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.771613] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:29.908114] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.802479] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.817378] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.835111] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.847314] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.869218] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.875478] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.884539] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.925061] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.944424] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.951997] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:30.960035] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:31.192440] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:31.985044] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:31.991486] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:32.002652] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:32.011600] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:32.014769] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:32.019877] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:32.063388] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:32.076441] [ALERT] Possible SSH brute-force from 172.22.0.1
